,name,co_type,co_hq,No_employee,ratings,reviews,year_old
315,AGS Health,Private,Washington DC + 20 more,5k-10k Employees (India),4.1,1.3k,11 years old
316,Sonalika Tractor...,Private,"Hoshiarpur,Punjab + 119 more",1k-5k Employees (India),3.9,1.3k,53 years old
317,TVS Sundram Fast...,Public,"Chennai,Tamil Nadu + 34 more",1k-5k Employees (India),3.9,1.3k,56 years old
318,café Coffee day,Private,"Bengaluru,Karnataka + 79 more",10k-50k Employees (India),4.1,1.3k,26 years old
319,Dalmia Bharat Ce...,Public,"Delhi/NCR,New Delhi + 136 more",5k-10k Employees (India),4.1,1.3k,87 years old
320,Shahi Exports,Private,"Faridabad,Haryana + 49 more",1 Lakh+ Employees (India),4.2,1.3k,48 years old
321,Big Bazaar,Private,"Mumbai,Maharashtra + 148 more",10k-50k Employees (India),4.2,1.3k,21 years old
322,Legato Health Te...,LLP,"Bangalore/Bengaluru,Karnataka + 8 more",5k-10k Employees (India),4.1,1.3k,5 years old
323,Societe Generale,Private,"Bangalore/Bengaluru,Karnataka + 13 more",1k-5k Employees (India),3.9,1.3k,22 years old
324,Bhushan Power & ...,Private,"Delhi/NCR,New Delhi + 48 more",10k-50k Employees (India),3.9,1.3k,52 years old
325,Mahindra Rural H...,Public,"Mumbai,Maharashtra + 296 more",5k-10k Employees (India),4.2,1.3k,15 years old
326,Johnson Controls,Public,Cork + 50 more,5k-10k Employees (India),4.0,2k,27 years old
327,Lenskart,Private,"Delhi,NCT + 99 more",1k-5k Employees (India),3.0,1.3k,12 years old
328,Ambuja Cements,Public,"Mumbai,Maharashtra + 162 more",5k-10k Employees (India),4.0,1.3k,39 years old
329,Yazaki,Private,"Tokyo,Tokyo + 46 more",10k-50k Employees (India),4.0,1.2k,81 years old
330,Force Motors,Public,"Pune,Maharashtra + 72 more",1k-5k Employees (India),3.4,1.2k,64 years old
331,Indian Navy,Private,"Delhi/NCR,Delhi + 56 more",50k-1 Lakh Employees (India),4.6,1.2k,72 years old
332,UNO Minda,Gurgaon + 58 more,64 years old,,4.1,1.3k,1k-5k Employees (India)
333,Brakes India,"Chennai,Tamil Nadu + 54 more",60 years old,,4.2,1.2k,1k-5k Employees (India)
334,Thomson Reuters,Private,Toronto + 18 more,5k-10k Employees (India),4.3,1.3k,14 years old
335,IGT Solutions,Private,"Gurgaon/Gurugram,Haryana + 17 more",5k-10k Employees (India),3.6,1.2k,24 years old
336,Wockhardt,Public,"Mumbai,Maharashtra + 68 more",5k-10k Employees (India),4.1,1.6k,23 years old
