,name,co_type,co_hq,No_employee,ratings,reviews,year_old
1515,Kaya Skin Clinic,Public,"Mumbai,Maharashtra + 34 more",1k-5k Employees (India),4.0,320,19 years old
1516,Balkrishna Indus...,Public,"Mumbai,Maharashtra + 8 more",1k-5k Employees (India),4.3,320,35 years old
1517,ERA Group,Public,"Mumbai,Maharashtra + 36 more",1k-5k Employees (India),3.3,320,32 years old
1518,Hitachi,Private,"Delhi/NCR,New Delhi + 61 more",5k-10k Employees (India),4.0,4.4k,92 years old
1519,Keventer,Private,Kolkata + 41 more,501-1k Employees (India),4.0,319,36 years old
1520,Trident Hotels,Private,New Delhi + 20 more,1k-5k Employees (India),4.1,319,88 years old
1521,Jaypee Cement,Private,"Solan,Himachal Pradesh + 65 more",1k-5k Employees (India),4.1,319,26 years old
1522,Patel Engineerin...,Public,"Mumbai,Maharashtra + 35 more",1k-5k Employees (India),4.0,319,73 years old
1523,Canon,Private,"Ota City,Tokyo + 49 more",1k-5k Employees (India),4.4,329,85 years old
1524,Sona Koyo Steeri...,Private,"Gurgaon/Gurugram,Haryana + 14 more",1k-5k Employees (India),4.2,318,38 years old
1525,Vestige,Private,"Delhi/NCR,Delhi + 81 more",10k-50k Employees (India),4.4,318,18 years old
1526,Salcomp Manufact...,Private,Salo + 7 more,1k-5k Employees (India),4.2,318,16 years old
1527,Kalyan Jewellers,Private,Thrissur + 73 more,5k-10k Employees (India),4.0,318,29 years old
1528,Pristyn Care,Private,"Delhi,NCT + 16 more",1k-5k Employees (India),4.2,318,4 years old
1529,Onward Technolog...,Public,"Eindhoven,North Brabant + 25 more",201-500 Employees (India),3.3,318,31 years old
1530,Cigniti Technolo...,Public,"Irving,Texas + 4 more",1k-5k Employees (India),4.1,318,24 years old
1531,Vijay Nirman Com...,Private,"Visakhapatnam/Vizag,Andhra Pradesh + 28 more",5k-10k Employees (India),4.0,317,40 years old
1532,Ziqitza Health C...,Public,"Mumbai,Maharashtra + 35 more",5k-10k Employees (India),4.3,317,17 years old
1533,Triveni Engineer...,Public,"Mysore/Mysuru,Karnataka + 38 more",1k-5k Employees (India),4.2,317,90 years old
1534,Karvy DigiKonnec...,Hyderabad + 16 more,7 years old,,3.1,316,10k-50k Employees (India)
1535,Bharat Gears,Public,"Mumbai,Maharashtra + 15 more",1k-5k Employees (India),4.1,316,50 years old
1536,Bitwise Solution...,Private,"Schaumburg,Chicago",501-1k Employees (India),4.4,316,26 years old
1537,BankBazaar,Private,"Chennai,Tamil Nadu + 7 more",501-1k Employees (India),3.6,336,14 years old
1538,Thermo Fisher Sc...,Private,"Waltham,Massachusetts + 22 more",1k-5k Employees (India),4.0,332,66 years old
1539,Jtekt Sona Autom...,Public,"Gurgaon/Gurugram,Haryana + 15 more",51-200 Employees (India),4.2,315,15 years old
1540,Asb Internationa...,Private,"Thane,Maharashtra + 9 more",1k-5k Employees (India),4.2,315,25 years old
1541,ACTE,"Chennai,Tamil Nadu + 9 more",11 years old,,4.8,315,1-10 Employees (India)
1542,Xavient Digital ...,Private,"Simi Valley,California + 5 more",501-1k Employees (India),3.9,315,20 years old
1543,Dr. Batras' Posi...,Private,Mumbai + 74 more,201-500 Employees (India),3.5,315,40 years old
1544,Kantar,Private,"London,London + 23 more",5k-10k Employees (India),3.7,829,14 years old
1545,Nomura Holdings,Public,"Mumbai,Maharashtra + 6 more",1k-5k Employees (India),4.0,338,13 years old
1546,Sanghi Industrie...,Public,"Ahmedabad,Gujarat + 19 more",201-500 Employees (India),3.8,314,37 years old
1547,Gandhi Automatio...,Private,"Mumbai,Maharashtra + 14 more",501-1k Employees (India),4.1,314,26 years old
1548,Allied Digital S...,Public,"Mumbai,Maharashtra + 26 more",1k-5k Employees (India),3.7,314,27 years old
1549,Medica Superspec...,Private,"Kolkata,West Bengal + 17 more",1k-5k Employees (India),3.4,314,14 years old
1550,Pace Setters Bus...,Mumbai + 13 more,16 years old,,3.7,313,201-500 Employees (India)
1551,IDEMIA,Private,"Courbevoie,Courbevoie + 22 more",1k-5k Employees (India),3.9,313,5 years old
1552,Microtek Interna...,Private,"Delhi/NCR,Delhi + 55 more",201-500 Employees (India),3.7,313,42 years old
1553,GlobalData,Private,London + 3 more,1k-5k Employees (India),3.9,313,38 years old
1554,Aptech,Public,"Mumbai,Maharashtra + 62 more",201-500 Employees (India),3.6,312,36 years old
1555,Doosan Power Sys...,Private,Crawley + 24 more,501-1k Employees (India),4.0,312,12 years old
1556,Jiva Ayurvedic P...,Private,"Faridabad,Haryana + 35 more",1k-5k Employees (India),3.8,312,30 years old
1557,Nykaa,Public,"Mumbai,Maharashtra + 34 more",1k-5k Employees (India),3.6,312,10 years old
1558,Deloitte Touche ...,"Bangalore/Bengaluru,Karnataka + 20 more",12 years old,,3.9,311,50k-1 Lakh Employees (India)
1559,The Akshaya Patr...,NGO/NPO,"Bangalore/Bengaluru,Karnataka + 50 more",1k-5k Employees (India),4.3,311,22 years old
1560,PrimEra Medical ...,Private,"Hyderabad/Secunderabad,Telangana",1k-5k Employees (India),3.5,311,7 years old
1561,Maini Precision ...,Private,"Bangalore/Bengaluru,Karnataka + 4 more",1k-5k Employees (India),3.8,311,49 years old
1562,BMC Software,Private,"Houston,Texas + 14 more",1k-5k Employees (India),4.5,311,42 years old
1563,TTK Healthcare,Public,"Chennai,Tamil Nadu + 59 more",1k-5k Employees (India),4.3,311,94 years old
1564,Deloitte Touche ...,"Bangalore/Bengaluru,Karnataka + 20 more",12 years old,,3.9,311,50k-1 Lakh Employees (India)
1565,MagicBricks,Private,"Noida,Uttar Pradesh + 20 more",501-1k Employees (India),3.6,311,16 years old
1566,Siyaram Silk Mil...,Public,"Mumbai,Maharashtra + 28 more",1k-5k Employees (India),4.1,310,44 years old
1567,HIL,Public,"Hyderabad/Secunderabad,Telangana + 44 more",1k-5k Employees (India),4.3,310,76 years old
1568,Poly Medicure,Public,"Delhi/NCR,Delhi + 25 more",1k-5k Employees (India),3.6,310,25 years old
1569,Hexagon Nutritio...,Private,"Mumbai,Maharashtra + 25 more",501-1k Employees (India),4.2,310,29 years old
1570,KFin Technologie...,"Hyderabad,Telangana + 19 more",5 years old,,3.8,310,1k-5k Employees (India)
1571,Bunge India,Private,"Chesterfield,Missouri + 35 more",1k-5k Employees (India),4.1,310,22 years old
1572,Baker Hughes,Private,"Boston,Massachusetts + 32 more",1k-5k Employees (India),4.2,310,6 years old
1573,Ramboll,Private,"Copenhagen,Denmark + 21 more",1k-5k Employees (India),4.3,309,16 years old
1574,J K Fenner,Private,"Chennai,Tamil Nadu + 28 more",501-1k Employees (India),3.7,309,35 years old
1575,Hilti,Private,Schaan + 29 more,1k-5k Employees (India),3.9,309,81 years old
1576,VRL Logistics,Public,"Hubballi,Karnataka + 72 more",10k-50k Employees (India),4.1,324,39 years old
1577,CWT,Private,Minnetonka + 10 more,1k-5k Employees (India),4.3,308,28 years old
1578,Kajaria Ceramics,Public,"Delhi/NCR,New Delhi + 47 more",1k-5k Employees (India),4.2,308,37 years old
1579,Hetero Healthcar...,Private,"Hyderabad/Secunderabad,Telangana + 45 more",1k-5k Employees (India),3.9,308,16 years old
1580,NJ India Invest,Private,Surat + 62 more,1k-5k Employees (India),3.8,308,28 years old
1581,Efs Facilities S...,Private,"Dubai,Dubai + 33 more",201-500 Employees (India),4.1,307,16 years old
1582,CMC,Public,"Bhopal,Madhya Pradesh + 47 more",10k-50k Employees (India),4.2,307,54 years old
1583,Amadeus,Private,Madrid + 12 more,501-1k Employees (India),4.1,307,35 years old
1584,Orient Electric,Public,"Delhi/NCR,Delhi + 36 more",1k-5k Employees (India),4.2,306,68 years old
1585,Finastra,Private,"Toronto,Ontario + 10 more",1k-5k Employees (India),4.0,306,5 years old
1586,L & W Constructi...,Private,"Bangalore/Bengaluru,Karnataka + 15 more",501-1k Employees (India),3.8,306,16 years old
1587,Triumphant Insti...,Private,Hyderabad + 63 more,201-500 Employees (India),3.9,306,30 years old
1588,Infrastructure L...,Private,Mumbai + 67 more,501-1k Employees (India),4.0,306,35 years old
1589,Infrastructure L...,Private,Mumbai + 67 more,501-1k Employees (India),4.0,306,35 years old
1590,Top Office Pros ...,Pune + 5 more,11-50 Employees (India),,4.9,306,
1591,Xceedance,Private,"Boston,Massachusetts + 6 more",1k-5k Employees (India),3.9,306,9 years old
1592,Gujarat Heavy Ch...,Public,"Noida,Uttar Pradesh + 20 more",501-1k Employees (India),4.1,305,39 years old
1593,Ferrero,Private,"Pune,Maharashtra + 49 more",501-1k Employees (India),4.1,305,18 years old
1594,Fena,Private,"Delhi/NCR,Delhi + 53 more",201-500 Employees (India),4.2,305,46 years old
1595,Maersk Line,Public,"Copenhagen,Copenhagen + 19 more",201-500 Employees (India),4.4,305,118 years old
1596,St. Xavier's Hig...,Private,"Mumbai,Maharashtra + 81 more",1k-5k Employees (Global),4.0,305,153 years old
1597,Chandigarh Unive...,Private,"Mohali,Punjab + 29 more",1k-5k Employees (India),3.4,305,10 years old
1598,Ness Technologie...,Private,"Teaneck,New Jersey + 8 more",1k-5k Employees (India),3.7,305,23 years old
1599,SKH Metals,Private,Gurgaon + 7 more,1k-5k Employees (India),3.8,304,16 years old
1600,EdgeVerve System...,Private,"Bangalore/Bengaluru,Karnataka + 9 more",1k-5k Employees (India),3.7,304,8 years old
1601,Sarovar Hotels &...,Private,"Gurgaon/Gurugram,Haryana + 49 more",1k-5k Employees (India),4.1,304,26 years old
1602,Soma Enterprises,Private,"Hyderabad/Secunderabad,Telangana + 42 more",1k-5k Employees (India),4.2,304,25 years old
1603,PropTiger.com,Private,"Gurgaon,Haryana + 13 more",1k-5k Employees (India),4.1,670,11 years old
1604,Shalby Hospitals,Public,"Ahmedabad,Gujarat + 15 more",1k-5k Employees (India),3.9,325,28 years old
1605,N.C.L. Industrie...,Public,"Hyderabad/Secunderabad,Telangana + 46 more",501-1k Employees (India),4.0,303,42 years old
1606,CDK Global,Private,"Hoffman Estates,Illinois + 1 more",1k-5k Employees (India),4.1,303,50 years old
1607,Bombardier Trans...,Private,"Montreal,Berlin + 12 more",201-500 Employees (India),4.2,303,27 years old
1608,Emami Agrotech,Public,"Kolkata,West Bengal + 34 more",1k-5k Employees (India),3.9,303,20 years old
1609,Deccan Fine Chem...,Private,"Hyderabad/Secunderabad,Telangana + 11 more",1k-5k Employees (India),3.7,303,14 years old
1610,Maveric Systems,Public,"Chennai,Tamil Nadu + 5 more",1k-5k Employees (India),3.8,302,22 years old
1611,Hpl Electric & P...,Private,"Noida,Uttar Pradesh + 42 more",1k-5k Employees (India),3.5,301,30 years old
1612,H & R Johnson,Private,Staffordshire + 58 more,1k-5k Employees (India),3.9,301,26 years old
1613,Aerial Telecom S...,Private,"Mohali,Punjab + 54 more",501-1k Employees (India),3.6,301,12 years old
1614,Jayaswal Neco In...,Public,"Nagpur,Maharashtra + 20 more",1k-5k Employees (India),4.2,301,50 years old
1615,Okaya Power,Private,"Delhi/NCR,Delhi + 55 more",1k-5k Employees (India),3.7,301,35 years old
1616,Labournet Servic...,Private,"Bangalore,Karnataka + 41 more",51-200 Employees (India),3.9,301,16 years old
1617,Brainvire,Private,"Plano,Texas + 5 more",201-500 Employees (India),4.7,301,22 years old
1618,Descon Engineeri...,Private,Lahore + 17 more,201-500 Employees (India),4.3,300,45 years old
1619,Vasudha Pharma C...,Public,"Hyderabad/Secunderabad,Telangana + 3 more",1k-5k Employees (India),4.3,300,27 years old
1620,Pyramid IT Consu...,Private,"Atlanta,Georgia + 19 more",51-200 Employees (India),3.8,300,26 years old
1621,National Informa...,Government,New Delhi + 38 more,5k-10k Employees (India),4.3,300,46 years old
1622,Prime Focus Tech...,Private,"Mumbai,Maharashtra + 11 more",1k-5k Employees (India),3.6,300,14 years old
1623,Tata Internation...,Public,"Mumbai,Maharashtra + 32 more",1k-5k Employees (India),4.1,300,60 years old
1624,eMids Technologi...,Private,"Bangalore/Bengaluru,Karnataka + 2 more",1k-5k Employees (India),4.0,300,23 years old
1625,TCI Express,Public,Gurugram + 54 more,1k-5k Employees (India),4.2,299,26 years old
1626,TCS eServe,Private,Mumbai + 30 more,50k-1 Lakh Employees (India),3.9,299,15 years old
1627,Naukri,Private,Noida + 47 more,1k-5k Employees (India),3.5,299,26 years old
1628,Bristlecone,Private,"Pune,Maharashtra + 9 more",1k-5k Employees (India),3.8,299,24 years old
1629,Nephroplus,Private,Hyderabad + 62 more,501-1k Employees (India),4.0,299,13 years old
1630,Shriram Value Se...,Private,"Chennai,Tamil Nadu + 26 more",1k-5k Employees (India),4.0,483,16 years old
1631,LIC Housing Fina...,Public,"Mumbai,Maharashtra + 93 more",1k-5k Employees (India),3.9,298,33 years old
1632,Dr. Reddy's Foun...,Private,"Hyderabad/Secunderabad,Telangana + 61 more",501-1k Employees (India),4.1,298,26 years old
1633,Aegis Essar,"Mumbai,Maharashtra + 22 more",19 years old,,3.6,298,5k-10k Employees (India)
1634,British Council,Government,London + 18 more,1k-5k Employees (India),4.0,298,88 years old
1635,PC Jewellers,Public,"Delhi/NCR,Delhi + 59 more",1k-5k Employees (India),3.7,298,17 years old
1636,Audi,Private,"Ingolstadt,Bavaria + 46 more",201-500 Employees (India),4.1,308,113 years old
1637,Coats,Private,Middlesex + 38 more,501-1k Employees (India),4.1,297,48 years old
1638,Alight Solutions,Private,Lincolnshire + 9 more,1k-5k Employees (India),3.9,297,26 years old
1639,Satyam Auto Comp...,Private,"Ludhiana,Punjab + 16 more",1k-5k Employees (India),4.0,297,21 years old
1640,Rebel Foods,Private,"Mumbai,Maharashtra + 36 more",5k-10k Employees (India),3.9,297,10 years old
1641,Castrol,Public,"Pangbourne,Berkshire + 66 more",501-1k Employees (India),4.3,297,123 years old
1642,Lenovo,Private,Quarry Bay + 58 more,1k-5k Employees (India),4.1,376,17 years old
1643,Roop Polymers,Public,"Gurgaon/Gurugram,Haryana + 16 more",1k-5k Employees (India),4.0,296,49 years old
1644,STUP Consultants,Private,"Mumbai,Maharashtra + 39 more",1k-5k Employees (India),3.9,296,59 years old
1645,Vikram Solar,Private,"Kolkata,West Bengal + 21 more",1k-5k Employees (India),3.9,296,16 years old
1646,QUICK HEAL TECHN...,Public,"Pune,Maharashtra + 34 more",1k-5k Employees (India),3.7,296,27 years old
1647,Rane NSK Steerin...,Bawal + 15 more,201-500 Employees (India),,3.9,295,
1648,More Supermarket...,Mumbai + 61 more,15 years old,,4.0,295,10k-50k Employees (India)
1649,Monte Carlo,Public,"San Francisco,California + 54 more",201-500 Employees (India),4.2,295,38 years old
1650,LG Soft India,Private,"Bangalore/Bengaluru,Karnataka + 9 more",1k-5k Employees (India),3.7,295,26 years old
1651,Mahanagar Gas,Public,"Mumbai,Maharashtra + 17 more",1k-5k Employees (India),4.1,295,27 years old
1652,More Supermarket...,Mumbai + 61 more,15 years old,,4.0,295,10k-50k Employees (India)
1653,Rane NSK Steerin...,Bawal + 15 more,201-500 Employees (India),,3.9,295,
1654,Shyam Steel Indu...,Private,"Kolkata,West Bengal + 26 more",1k-5k Employees (India),3.7,294,69 years old
1655,Otsuka Pharmaceu...,Private,"Chiyoda City,Tokyo + 25 more",201-500 Employees (India),4.0,294,10 years old
1656,Airports Authori...,Private,"Delhi/NCR,New Delhi + 63 more",10k-50k Employees (India),4.4,294,27 years old
1657,NCCCL,Private,"Mumbai,Maharashtra + 19 more",1k-5k Employees (India),3.7,294,76 years old
1658,Kirloskar Pneuma...,Public,"Pune,Maharashtra + 11 more",1k-5k Employees (India),4.1,294,64 years old
1659,Unimoni,Private,"Abu Dhabi,Dubai + 68 more",1k-5k Employees (India),3.9,294,16 years old
1660,IFB,Public,"Kolkata,West Bengal + 74 more",201-500 Employees (India),3.8,436,48 years old
1661,Manjushree Techn...,Private,"Bangalore/Bengaluru,Karnataka + 14 more",501-1k Employees (India),3.9,293,39 years old
1662,Vastu Housing Fi...,Private,"Mumbai,Maharashtra + 75 more",1k-5k Employees (India),4.6,293,7 years old
1663,Mahindra Two Whe...,Public,Pune + 62 more,501-1k Employees (India),4.2,293,14 years old
1664,ALLEN Career Ins...,Private,"Kota,Rajasthan + 36 more",10k-50k Employees (India),4.1,293,34 years old
1665,QHTalbros,Public,"Gurgaon/Gurugram,Haryana + 15 more",5k-10k Employees (India),3.8,293,36 years old
1666,CtrlS,Private,Hyderabad + 11 more,1k-5k Employees (India),3.7,415,15 years old
1667,AT&T,Private,"Dallas,Texas + 13 more",10k-50k Employees (India),4.4,296,39 years old
1668,Bpo Convergence,Private,"Bhubaneswar,Odisha + 18 more",1k-5k Employees (India),3.4,292,8 years old
1669,Spinny,Private,"Gurgaon,Haryana + 24 more",1k-5k Employees (India),4.2,292,7 years old
1670,Infor Global Sol...,Private,"New York City,New York + 5 more",1k-5k Employees (India),4.1,292,20 years old
1671,Utility Powertec...,Private,"Noida,Uttar Pradesh + 49 more",201-500 Employees (India),3.8,292,27 years old
1672,IIC Technologies,Public,"Hyderabad/Secunderabad,Telangana + 14 more",1k-5k Employees (India),3.8,292,28 years old
1673,SK E&C,Seoul + 37 more,45 years old,,4.4,292,201-500 Employees (India)
1674,ITSource Technol...,Public,"Mumbai,Maharashtra + 28 more",201-500 Employees (India),3.3,292,24 years old
1675,SMC Global Secur...,Public,SMC Global Securities Ltd. + 47 more,1k-5k Employees (India),3.5,292,28 years old
1676,Bridgestone,Private,Tokyo + 36 more,1k-5k Employees (India),4.3,571,26 years old
1677,Pennar Industrie...,Public,"Hyderabad/Secunderabad,Telangana + 17 more",1k-5k Employees (India),3.7,421,34 years old
1678,Micron Electrica...,Private,"Bangalore/Bengaluru,Karnataka + 12 more",1k-5k Employees (India),4.0,291,46 years old
1679,Aramex,Private,Dubai + 48 more,1k-5k Employees (India),3.8,291,40 years old
1680,B. Braun Medical,Private,"Melsungen,Hesse + 40 more",501-1k Employees (India),4.1,291,183 years old
1681,Wonder Cement,Private,"Ajmer,Rajasthan + 43 more",1k-5k Employees (India),4.2,291,12 years old
1682,Giesecke & Devri...,Private,Munich + 38 more,1k-5k Employees (India),4.1,291,170 years old
1683,Micron Electrica...,Private,"Bangalore/Bengaluru,Karnataka + 12 more",1k-5k Employees (India),4.0,291,46 years old
1684,CareerNet Consul...,Private,Bangalore + 11 more,1k-5k Employees (India),3.9,291,23 years old
1685,NetConnectGlobal,Private,"Bangalore/Bengaluru,Karnataka + 37 more",1k-5k Employees (India),3.7,291,25 years old
1686,Ssipl Lifestyle,Private,"Delhi/NCR,Delhi + 42 more",1k-5k Employees (India),4.0,290,28 years old
1687,Suma Soft,Private,Pune + 4 more,501-1k Employees (India),3.8,290,22 years old
1688,Nihilent,Private,"Pune,Maharashtra + 3 more",1k-5k Employees (India),3.8,290,22 years old
1689,Royal Orchid Hot...,Public,"Bangalore/Bengaluru,Karnataka + 31 more",5k-10k Employees (India),4.1,290,36 years old
1690,IVY Comptech,Private,"Hyderabad/Secunderabad,Telangana + 2 more",1k-5k Employees (India),4.2,290,21 years old
1691,Medicover Hospit...,"Hyderabad,Telangana + 19 more",11 years old,,3.9,290,1k-5k Employees (India)
1692,Veritas,Public,"Santa Clara,California + 15 more",1k-5k Employees (India),4.2,290,33 years old
1693,Venky's,Public,"Pune,Maharashtra + 47 more",5k-10k Employees (India),3.7,289,46 years old
1694,Hindusthan Natio...,Public,"Kolkata,West Bengal + 16 more",501-1k Employees (India),3.6,289,76 years old
1695,Lafarge,Private,Paris + 70 more,201-500 Employees (India),4.1,289,189 years old
1696,CTS Consulting &...,Private,Eysines + 21 more,201-500 Employees (India),3.8,289,14 years old
1697,SS Supply Chain ...,Private,"Gurgaon,Haryana + 32 more",201-500 Employees (India),4.6,288,10 years old
1698,CompuCom,Private,"Fort Mill,South Carolina + 3 more",1k-5k Employees (India),4.2,288,35 years old
1699,HyperCITY,Private,"Mumbai,Maharashtra + 18 more",501-1k Employees (India),4.5,288,18 years old
1700,PepsiCo (India) ...,Gurgaon/Gurugram + 77 more,,,4.0,288,
1701,Prism Johnson,Public,"Mumbai,Maharashtra + 66 more",1k-5k Employees (India),4.0,396,30 years old
1702,National Collate...,Mumbai + 63 more,18 years old,,3.9,287,501-1k Employees (India)
1703,Indecomm Global ...,Private,"Edison,New Jersey + 9 more",1k-5k Employees (India),3.7,287,19 years old
1704,RPG Life Science...,Public,"Mumbai,Maharashtra + 25 more",1k-5k Employees (India),4.2,287,29 years old
1705,Dhani Healthcare,Gurgaon/Gurugram + 63 more,1k-5k Employees (India),,3.5,287,
1706,Carlsberg,Private,"Vesterbro,Copenhagen + 51 more",1k-5k Employees (India),4.1,287,175 years old
1707,TEXMO INDUSTRIES,Private,Coimbatore + 27 more,501-1k Employees (India),3.7,301,66 years old
1708,Wipro Infotech L...,Gurgaon/Gurugram + 36 more,,,4.3,286,
1709,Wipro Infotech L...,Gurgaon/Gurugram + 36 more,,,4.3,286,
1710,Zealous Services,Private,"Chennai,Tamil Nadu + 3 more",501-1k Employees (India),3.2,285,15 years old
1711,OpenText Technol...,Private,"Waterloo,Ontario + 4 more",1k-5k Employees (India),4.0,285,31 years old
1712,Nvidia,Private,"Santa Clara,California + 4 more",1k-5k Employees (India),4.2,285,29 years old
1713,National Bulk Ha...,Private,"Mumbai,Maharashtra + 59 more",1k-5k Employees (India),4.2,284,19 years old
1714,Lakme,Public,"Mumbai,Maharashtra + 52 more",201-500 Employees (India),4.4,284,42 years old
1715,Attra Infotech,Private,"Box Hill,Victoria + 6 more",1k-5k Employees (India),4.0,284,27 years old
1716,Praj Industries,Public,"Pune,Maharashtra + 9 more",501-1k Employees (India),4.1,284,39 years old
1717,Online Legal Ind...,Private,"Kolkata,West Bengal + 1 more",501-1k Employees (India),4.9,284,3 years old
1718,Toyota,Private,"Toyota City,Aichi Prefecture + 66 more",5k-10k Employees (India),4.3,1.4k,85 years old
1719,Continental,Private,Hanover + 35 more,5k-10k Employees (India),4.2,1.2k,151 years old
1720,Cargill Business...,"Wayzata,Minnesota + 5 more",7 years old,,4.3,999,1k-5k Employees (India)
1721,Allegis Group,Private,"Hanover,Maryland + 10 more",501-1k Employees (India),3.9,815,39 years old
1722,Telesonic Networ...,Public,"Delhi/NCR,Delhi + 32 more",5k-10k Employees (India),3.8,283,13 years old
1723,Marlabs,Private,"Piscataway,New Jersey + 10 more",1k-5k Employees (India),3.8,283,26 years old
1724,Godrej Industrie...,Public,"Mumbai,Maharashtra + 39 more",10k-50k Employees (India),3.9,3.5k,59 years old
1725,Zoho,Private,Chennai + 10 more,10k-50k Employees (India),4.3,282,26 years old
1726,Fidelity Interna...,Private,London + 7 more,1k-5k Employees (India),4.3,282,53 years old
1727,Victora Group,Private,"Faridabad,Haryana + 17 more",201-500 Employees (India),4.0,282,31 years old
1728,INDIABULLS PHARM...,Private,"Mumbai,Maharashtra + 52 more",1k-5k Employees (India),2.7,282,6 years old
1729,Lohia Group,Public,"Kanpur,Uttar Pradesh + 16 more",1k-5k Employees (India),4.0,282,46 years old
1730,Toyota Industrie...,Private,"Kariya,Aichi + 2 more",501-1k Employees (India),4.2,282,27 years old
1731,Vidal Health Tpa,Private,Bangalore + 38 more,201-500 Employees (India),4.1,282,12 years old
1732,Mitsubishi Elect...,Private,"Chiyoda City,Tokyo + 31 more",501-1k Employees (India),4.2,284,101 years old
1733,SPAR Hypermarket...,Private,"Bangalore/Bengaluru,Karnataka + 19 more",1k-5k Employees (India),4.2,281,15 years old
1734,NU Vista,Public,"Kolkata,West Bengal + 49 more",1k-5k Employees (India),4.4,281,48 years old
1735,Gupta Power Infr...,Private,"Bhubaneswar,Odisha + 29 more",501-1k Employees (India),3.3,281,61 years old
1736,Onshore Construc...,Private,"Mumbai,Maharashtra + 20 more",201-500 Employees (India),4.1,281,27 years old
1737,SAMSUNG C&T,"Suwon-Si,Gyeonggi-Do + 17 more",84 years old,,4.2,281,501-1k Employees (India)
1738,Globant,Private,San Francisco + 4 more,1k-5k Employees (India),4.4,281,19 years old
1739,CAMS,Chennai + 33 more,34 years old,,3.9,280,5k-10k Employees (India)
1740,Bridgestone Indi...,Private,Pune + 31 more,501-1k Employees (India),4.2,280,26 years old
1741,ABP Group,Private,"Kolkata,West Bengal + 19 more",1k-5k Employees (India),3.3,280,100 years old
1742,Amazon Logistics,Hyderabad/Secunderabad + 65 more,1 Lakh+ Employees (India),,4.3,280,
1743,Iron Mountain In...,Private,"Boston,Massachusetts + 26 more",1k-5k Employees (India),4.1,280,71 years old
1744,Fedbank Financia...,Private,"Mumbai,Maharashtra + 73 more",1k-5k Employees (India),4.4,279,12 years old
1745,Aditya Birla Min...,Private,Bellandur + 9 more,10k-50k Employees (India),4.3,279,41 years old
1746,Marelli,Private,"Corbetta,Corbetta + 10 more",501-1k Employees (India),3.9,279,103 years old
1747,Mahindra Satyam,Private,"Hyderabad/Secunderabad,Telangana + 23 more",1 Lakh+ Employees (India),3.5,279,35 years old
1748,Alfanar,Private,"Riyadh,Riyadh + 26 more",201-500 Employees (India),4.3,279,46 years old
1749,Tracxn,Private,"Bangalore,Karnataka + 4 more",501-1k Employees (India),3.1,279,9 years old
1750,Central Bank of ...,Public,"Mumbai,Maharashtra + 69 more",10k-50k Employees (India),4.0,278,111 years old
1751,Cuemath,Private,"Bangalore,Karnataka + 17 more",1k-5k Employees (India),4.2,278,9 years old
1752,Qcon,Private,Doha + 19 more,5k-10k Employees (India),4.3,278,47 years old
1753,Williams Lea Tag,Public,New York + 10 more,501-1k Employees (India),3.9,278,202 years old
1754,Zee Entertainmen...,Public,Mumbai + 27 more,1k-5k Employees (India),4.0,421,30 years old
1755,Digit Insurance,Private,"Bangalore,Karnataka + 42 more",1k-5k Employees (India),4.0,277,6 years old
1756,Bajaj Capital In...,New Delhi + 82 more,18 years old,,3.7,277,1k-5k Employees (India)
1757,Adani Green Ener...,Private,"Ahmedabad,Gujrat + 35 more",501-1k Employees (India),4.2,277,7 years old
1758,Pratham Educatio...,Private,"Delhi/NCR,Delhi + 64 more",1k-5k Employees (India),4.4,277,27 years old
1759,Acadecraft,Private,"Noida,Uttar Pradesh + 11 more",201-500 Employees (India),3.3,277,11 years old
1760,Kataria Automobi...,Private,"Ahmedabad,Gujarat + 13 more",201-500 Employees (India),3.7,276,32 years old
1761,Suprajit Enginee...,Public,"Bangalore/Bengaluru,Karnataka + 23 more",501-1k Employees (India),3.9,276,37 years old
1762,Munjal Showa,Public,"Gurgaon/Gurugram,Haryana + 12 more",1k-5k Employees (India),3.8,276,37 years old
1763,Paramount Health...,Private,"Mumbai,Maharashtra + 24 more",1k-5k Employees (India),3.9,276,20 years old
1764,Flatworld Soluti...,Private,"Bangalore/Bengaluru,Karnataka + 7 more",1k-5k Employees (India),3.7,275,16 years old
1765,Grand Hyatt,Private,"Chicago,Illinois + 19 more",501-1k Employees (India),4.3,275,65 years old
1766,HCG Hospital,Public,"Ahmedabad,Gujarat + 26 more",1 Lakh+ Employees (India),3.9,275,33 years old
1767,Prestige Group,Private,Bengaluru + 19 more,1k-5k Employees (India),4.0,275,36 years old
1768,F1 Info Solution...,Private,"Mumbai,Maharashtra + 38 more",201-500 Employees (India),3.8,275,21 years old
1769,Comviva Technolo...,Private,"Gurgaon,Haryana + 12 more",1k-5k Employees (India),3.5,275,23 years old
1770,Avery Dennison,Private,"Glendale,California + 27 more",1k-5k Employees (India),4.2,275,27 years old
1771,DP World,Public,"Dubai,Jebel Ali + 30 more",1k-5k Employees (India),4.1,275,17 years old
1772,Exxon Mobil,Private,"Irving,Texas + 22 more",1k-5k Employees (India),3.6,281,23 years old
1773,Capri Global Cap...,Public,"Mumbai,Maharashtra + 68 more",1k-5k Employees (India),4.1,274,25 years old
1774,Havmor Ice Cream,Private,"Ahmedabad,Gujrat + 44 more",501-1k Employees (India),4.2,274,78 years old
